data,Ano,Mes,COR(ppm Pt Co),TURB.(FTU),pH,O.C.(ppm O2),O.D.(ppm O2),Cl-(ppm Cl-),DUR.(ppm CaCO3),Fe(ppm Fe),Mn(mg/l),Cond.(uS/cm),flag_IQR,flag_MAD,flag_IForest,flag_LOF,flag_KNN,flag_Ensemble,n_metodos,n_violacoes_conama,n_violacoes_sem_indicativos
2022-04-01,2022,Abr,72.0,52.0,7.2,7.9,3.7,51.0,54.0,0.61,0.11,347.0,False,False,False,False,False,False,0,4,3
2022-05-01,2022,Mai,37.0,9.0,7.2,9.7,3.3,39.0,63.0,0.39,0.1,475.0,False,False,False,False,False,False,0,4,3
2022-06-01,2022,Jun,33.0,9.0,7.2,9.0,3.5,42.0,60.0,0.85,0.09,473.0,False,False,False,False,False,False,0,4,3
2022-07-01,2022,Jul,35.0,6.0,7.3,11.0,3.0,51.0,71.0,0.84,0.11,631.0,False,False,False,False,False,False,0,7,6
2022-08-01,2022,Ago,38.0,8.0,7.3,10.6,3.0,56.0,65.0,0.54,0.19,636.0,False,False,False,False,False,False,0,6,5
2022-09-01,2022,Set,52.0,15.0,7.3,11.9,2.9,64.0,67.0,1.34,0.15,647.0,False,False,False,False,False,False,0,6,5
2022-10-01,2022,Out,62.0,28.0,7.1,10.8,2.9,55.0,85.0,0.79,0.11,459.0,False,False,False,False,False,False,0,6,5
2022-11-01,2022,Nov,80.0,52.0,7.1,10.4,2.5,51.0,62.0,1.94,0.29,428.0,False,False,False,False,False,False,0,6,5
2022-12-01,2022,Dez,205.0,135.0,7.0,9.7,4.1,32.0,45.0,2.41,0.07,239.0,False,False,False,False,False,False,0,8,7
2023-01-01,2023,Jan,278.0,189.0,7.0,8.1,5.7,16.0,38.0,3.21,0.07,161.0,True,True,True,False,False,False,3,4,3
2023-02-01,2023,Fev,225.0,155.0,7.1,8.7,5.3,15.0,61.0,4.79,0.59,159.0,True,True,True,False,False,False,3,5,4
2023-03-01,2023,Mar,197.0,134.0,7.2,9.0,4.8,25.0,60.0,2.69,0.22,161.0,False,False,False,False,False,False,0,6,5
2023-04-01,2023,Abr,138.0,73.0,7.2,7.1,4.9,26.0,69.0,0.84,0.09,185.0,False,False,False,False,False,False,0,4,3
